Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type, Accommodation cost ,Transportation type, Transportation cost 
840,Japan,10/18/2022,10/19/2022,1,Charles SMITH,50,Male,Germany,Villa," $6,608.00 ",Bus, $609.00 
841,"Athens, Greece",10/29/2024,11/6/2024,8,Charles JOHNSON,45,Male,USA,Riad," $1,140.00 ",Subway, $446.00 
842,"Dubai, United Arab Emirates",4/7/2024,4/17/2024,10,Charles WILLIAMS,39,Female,Canadian,Hostel, $604.00 ,Plane, $812.00 
843,"Tokyo, Japan",7/13/2021,7/14/2021,1,Charles BROWN,55,Male,Cambodia,Resort," $1,972.00 ",Car rental," $1,134.00 "
844,"Sydney, Australia",2/9/2023,2/17/2023,8,Charles JONES,41,Female,South Korea,Airbnb, $340.00 ,Plane," $1,669.00 "
845,Amsterdam,11/26/2022,12/11/2022,15,Charles GARCIA,28,Male,United Arab Emirates,Vacation rental," $1,492.00 ",Train," $1,119.00 "
846,"Los Angeles, USA",6/27/2022,7/2/2022,5,Charles RODRIGUEZ,22,Male,Dutch,Hostel, $950.00 ,Car rental," $1,547.00 "
847,New York,6/2/2023,6/13/2023,11,Charles MILLER,46,Female,Indonesian,Resort," $1,672.00 ",Plane," $1,066.00 "
848,Bangkok,2/1/2023,2/12/2023,11,Charles MARTINEZ,26,Female,Spain,Villa," $7,005.00 ",Ferry," $1,034.00 "
849,"Sydney, AUS",1/16/2021,1/20/2021,4,Charles DAVIS,41,Female,New Zealander,Hotel, $567.00 ,Train, $570.00 
850,Phnom Penh,5/10/2021,5/17/2021,7,Charles HERNANDEZ,32,Male,China,Hostel," $2,605.00 ",Airplane," $1,151.00 "
851,"Auckland, New Zealand",7/25/2024,7/29/2024,4,Charles LOPEZ,22,Male,Greece,Airbnb," $4,284.00 ",Car rental," $1,714.00 "
852,"Los Angeles, USA",12/16/2021,12/29/2021,13,Charles GONZALEZ,35,Female,United Arab Emirates,Hotel, $362.00 ,Ferry, $673.00 
853,"Bangkok, Thai",6/11/2024,6/25/2024,14,Charles WILSON,55,Male,German,Hostel," $6,798.00 ",Bus," $1,231.00 "
854,"New York City, USA",4/12/2023,4/15/2023,3,Charles ANDERSON,31,Female,Hong Kong,Airbnb, $599.00 ,Flight," $2,279.00 "
855,"New York, USA",10/20/2022,10/23/2022,3,Charles THOMAS,26,Female,Indonesian,Hotel, $599.00 ,Car rental," $2,465.00 "
856,"Los Angeles, USA",3/14/2021,3/23/2021,9,Charles TAYLOR,27,Female,Singapore,Riad," $4,504.00 ",Car rental, $810.00 
857,Barcelona,7/7/2022,7/12/2022,5,Charles LEE,58,Female,UK,Hotel, $870.00 ,Subway," $1,594.00 "
858,France,4/16/2024,4/21/2024,5,Charles MOORE,25,Male,Chinese,Villa," $1,973.00 ",Ferry, $366.00 
859,"Rio de Janeiro, Brazil",11/4/2023,11/16/2023,12,Charles JACKSON,40,Male,South African,Guesthouse," $7,336.00 ",Ferry," $2,392.00 "
860,"Honolulu, Hawaii",1/29/2023,2/13/2023,15,Anthony SMITH,35,Female,Cambodia,Resort," $1,750.00 ",Airplane, $759.00 
861,Australia,10/10/2022,10/13/2022,3,Anthony JOHNSON,35,Male,China,Hotel," $6,544.00 ",Plane," $1,389.00 "
862,Phuket,10/5/2024,10/12/2024,7,Anthony WILLIAMS,52,Female,Emirati,Airbnb," $2,760.00 ",Flight, $980.00 
863,"Paris, France",5/10/2021,5/21/2021,11,Anthony BROWN,41,Male,Moroccan,Airbnb," $6,501.00 ",Car," $1,196.00 "
864,Japan,8/1/2023,8/9/2023,8,Anthony JONES,37,Male,British,Resort," $3,784.00 ",Flight," $1,732.00 "
865,Italy,12/19/2024,1/2/2025,14,Anthony GARCIA,22,Female,Vietnamese,Vacation rental," $2,800.00 ",Ferry, $642.00 
866,"Rio de Janeiro, Brazil",2/25/2023,3/9/2023,12,Anthony RODRIGUEZ,39,Male,Spanish,Hotel, $214.00 ,Ferry," $2,282.00 "
867,"Phuket, Thailand",6/7/2024,6/22/2024,15,Anthony MILLER,56,Male,Indian,Villa," $5,221.00 ",Plane," $2,004.00 "
868,"Vancouver, Canada",3/11/2024,3/25/2024,14,Anthony MARTINEZ,47,Female,Cambodia,Hotel," $5,257.00 ",Plane," $2,021.00 "
869,"New York City, USA",11/3/2023,11/16/2023,13,Anthony DAVIS,60,Male,Vietnamese,Resort," $5,550.00 ",Airplane," $1,594.00 "
870,"Bali, Indonesia",6/1/2021,6/8/2021,7,Anthony HERNANDEZ,42,Male,Scottish,Vacation rental," $4,275.00 ",Train, $427.00 
871,"New York, USA",5/29/2024,6/2/2024,4,Anthony LOPEZ,53,Male,British,Airbnb," $6,047.00 ",Bus, $908.00 
872,Thailand,9/26/2021,9/27/2021,1,Anthony GONZALEZ,51,Female,Chinese,Guesthouse," $3,576.00 ",Bus," $1,740.00 "
873,"Phuket, Thailand",11/2/2022,11/10/2022,8,Anthony WILSON,23,Female,British,Guesthouse, $623.00 ,Car," $1,115.00 "
874,France,8/18/2024,9/2/2024,15,Anthony ANDERSON,33,Male,Taiwanese,Guesthouse," $6,755.00 ",Bus," $1,376.00 "
875,Barcelona,9/1/2024,9/3/2024,2,Anthony THOMAS,60,Female,Italy,Vacation rental," $3,640.00 ",Car rental, $582.00 
876,Bali,3/16/2021,3/24/2021,8,Anthony TAYLOR,59,Female,Scottish,Airbnb," $3,239.00 ",Airplane," $2,093.00 "
877,Paris,3/25/2024,4/6/2024,12,Anthony LEE,47,Male,French,Riad," $6,641.00 ",Car rental," $2,356.00 "
878,Phnom Penh,12/8/2021,12/20/2021,12,Anthony MOORE,60,Male,Korean,Hostel," $6,444.00 ",Car rental, $827.00 
879,"Honolulu, Hawaii",9/16/2024,9/22/2024,6,Anthony JACKSON,53,Female,German,Airbnb, $639.00 ,Subway, $752.00 
880,Bali,6/15/2024,6/17/2024,2,Patricia SMITH,41,Female,USA,Hotel," $5,817.00 ",Subway, $982.00 
881,Barcelona,1/18/2023,1/25/2023,7,Patricia JOHNSON,40,Female,Scottish,Vacation rental," $6,706.00 ",Car," $2,293.00 "
882,"Cape Town, SA",1/4/2021,1/15/2021,11,Patricia WILLIAMS,42,Female,United Kingdom,Vacation rental," $2,888.00 ",Car, $550.00 
883,Dubai,2/11/2021,2/22/2021,11,Patricia BROWN,55,Female,Greece,Guesthouse, $506.00 ,Car rental," $1,116.00 "
884,Hawaii,6/16/2022,6/23/2022,7,Patricia JONES,49,Female,Canadian,Hostel, $991.00 ,Bus," $1,729.00 "
885,"Barcelona, Spain",10/30/2022,11/13/2022,14,Patricia GARCIA,32,Female,Greece,Hotel, $533.00 ,Ferry," $1,308.00 "
886,"Seoul, South Korea",11/3/2024,11/14/2024,11,Patricia RODRIGUEZ,21,Male,French,Villa," $4,660.00 ",Flight," $1,961.00 "
887,"Rome, Italy",7/4/2021,7/15/2021,11,Patricia MILLER,44,Female,New Zealander,Airbnb," $4,143.00 ",Train," $2,392.00 "
888,Bangkok,8/3/2022,8/16/2022,13,Patricia MARTINEZ,33,Female,Canada,Villa, $930.00 ,Airplane, $250.00 
889,"Sydney, AUS",10/10/2023,10/13/2023,3,Patricia DAVIS,48,Male,United Kingdom,Resort," $6,340.00 ",Subway," $2,276.00 "
890,"Sydney, Australia",2/3/2024,2/17/2024,14,Patricia HERNANDEZ,28,Male,Korean,Villa," $4,921.00 ",Flight," $1,450.00 "
891,"Sydney, AUS",12/14/2023,12/29/2023,15,Patricia LOPEZ,44,Female,Dutch,Guesthouse," $4,807.00 ",Train," $2,415.00 "
892,"Dubai, United Arab Emirates",9/6/2024,9/12/2024,6,Patricia GONZALEZ,56,Male,Chinese,Hostel, $234.00 ,Subway, $734.00 
893,Barcelona,10/17/2024,10/24/2024,7,Patricia WILSON,32,Male,Canada,Resort," $6,828.00 ",Plane," $1,576.00 "
894,Mexico,4/27/2021,4/30/2021,3,Patricia ANDERSON,23,Female,United Arab Emirates,Hotel," $4,461.00 ",Car, $522.00 
895,"Vancouver, Canada",2/16/2021,3/2/2021,14,Patricia THOMAS,56,Female,Italy,Villa," $7,311.00 ",Plane," $1,660.00 "
896,"Honolulu, Hawaii",2/19/2023,2/25/2023,6,Patricia TAYLOR,47,Male,Brazil,Vacation rental," $4,941.00 ",Plane, $741.00 
897,"Berlin, Germany",2/25/2024,3/4/2024,8,Patricia LEE,26,Female,Indian,Hostel," $3,364.00 ",Car rental, $219.00 
898,"Phuket, Thai",2/6/2021,2/9/2021,3,Patricia MOORE,51,Male,Dutch,Hotel," $1,880.00 ",Ferry," $1,639.00 "
899,Dubai,2/26/2022,2/28/2022,2,Patricia JACKSON,20,Male,UK,Resort," $5,605.00 ",Flight," $2,251.00 "
900,Phuket,6/3/2023,6/17/2023,14,Linda SMITH,28,Female,Italy,Riad," $5,834.00 ",Flight," $2,264.00 "
901,"Cape Town, South Africa",1/7/2021,1/21/2021,14,Linda JOHNSON,31,Female,Spanish,Airbnb," $7,804.00 ",Ferry, $652.00 
902,Rio de Janeiro,2/2/2023,2/12/2023,10,Linda WILLIAMS,46,Female,Taiwan,Airbnb," $5,724.00 ",Plane," $2,137.00 "
903,London,2/28/2021,3/2/2021,2,Linda BROWN,20,Male,United Kingdom,Airbnb," $6,867.00 ",Subway, $437.00 
904,Bangkok,10/21/2023,11/2/2023,12,Linda JONES,58,Female,Greece,Vacation rental," $2,239.00 ",Subway, $734.00 
905,Mexico,7/24/2023,8/5/2023,12,Linda GARCIA,47,Male,Cambodia,Villa," $1,143.00 ",Car, $355.00 
906,London,1/4/2023,1/7/2023,3,Linda RODRIGUEZ,26,Female,Indonesian,Vacation rental," $7,780.00 ",Train," $2,236.00 "
907,Mexico,12/5/2021,12/13/2021,8,Linda MILLER,36,Male,Canada,Guesthouse," $7,141.00 ",Airplane," $1,064.00 "
908,"Bali, Indonesia",8/6/2021,8/11/2021,5,Linda MARTINEZ,33,Female,China,Guesthouse," $6,307.00 ",Bus, $654.00 
909,Rome,3/24/2021,4/2/2021,9,Linda DAVIS,28,Female,Canada,Airbnb," $5,030.00 ",Flight," $1,510.00 "
910,"Los Angeles, USA",4/23/2023,5/5/2023,12,Linda HERNANDEZ,59,Female,German,Hotel," $4,979.00 ",Car rental," $2,129.00 "
911,"Sydney, Australia",3/10/2022,3/25/2022,15,Linda LOPEZ,55,Female,Korean,Airbnb," $2,662.00 ",Airplane, $192.00 
912,Thailand,11/23/2023,11/26/2023,3,Linda GONZALEZ,40,Female,Emirati,Riad, $574.00 ,Airplane," $1,792.00 "
913,"Rome, Italy",12/25/2022,1/5/2023,11,Linda WILSON,57,Male,Australian,Airbnb," $5,775.00 ",Airplane," $1,455.00 "
914,Rio de Janeiro,10/24/2022,10/25/2022,1,Linda ANDERSON,60,Male,Moroccan,Villa, $589.00 ,Car rental," $1,749.00 "
915,Phuket,7/23/2022,7/28/2022,5,Linda THOMAS,49,Male,South African,Hostel," $1,171.00 ",Airplane," $1,850.00 "
916,"Vancouver, Canada",1/16/2024,1/25/2024,9,Linda TAYLOR,59,Male,South Korea,Riad," $1,623.00 ",Plane, $720.00 
917,"Paris, France",5/3/2022,5/16/2022,13,Linda LEE,44,Male,Taiwanese,Riad," $3,838.00 ",Airplane, $555.00 
918,Greece,1/28/2022,2/5/2022,8,Linda MOORE,56,Male,Mexican,Hostel," $4,886.00 ",Airplane," $1,576.00 "
919,"Vancouver, Canada",8/14/2021,8/29/2021,15,Linda JACKSON,26,Male,UK,Vacation rental, $661.00 ,Ferry," $2,112.00 "
920,"Honolulu, Hawaii",6/15/2024,6/26/2024,11,Mark SMITH,21,Male,American,Airbnb," $7,470.00 ",Car rental, $810.00 
921,Brazil,4/21/2022,4/24/2022,3,Mark JOHNSON,31,Female,British,Resort," $7,254.00 ",Car, $316.00 
922,Phuket,4/3/2021,4/18/2021,15,Mark WILLIAMS,58,Male,Greece,Hostel," $6,571.00 ",Flight," $1,491.00 "
923,"Cancun, Mexico",2/18/2021,2/26/2021,8,Mark BROWN,40,Female,Canada,Guesthouse," $1,662.00 ",Ferry," $1,309.00 "
924,Barcelona,5/11/2023,5/23/2023,12,Mark JONES,20,Male,Canadian,Hotel," $5,500.00 ",Bus," $1,418.00 "
925,Seoul,12/30/2023,1/4/2024,5,Mark GARCIA,41,Female,Taiwanese,Vacation rental," $4,774.00 ",Car rental," $1,316.00 "
926,"Rio de Janeiro, Brazil",11/2/2022,11/14/2022,12,Mark RODRIGUEZ,43,Male,USA,Resort," $5,487.00 ",Flight," $2,048.00 "
927,"Bangkok, Thai",7/16/2024,7/30/2024,14,Mark MILLER,51,Male,Singapore,Hotel," $3,508.00 ",Ferry," $2,085.00 "
928,"Sydney, Australia",12/17/2024,12/24/2024,7,Mark MARTINEZ,45,Female,French,Resort," $5,823.00 ",Car," $1,292.00 "
929,"Sydney, Australia",8/27/2024,9/10/2024,14,Mark DAVIS,52,Female,Korean,Riad," $5,328.00 ",Train," $2,155.00 "
930,"Edinburgh, Scotland",6/2/2024,6/3/2024,1,Mark HERNANDEZ,44,Male,Italian,Hostel," $3,079.00 ",Plane," $2,042.00 "
931,"Barcelona, Spain",1/20/2022,2/3/2022,14,Mark LOPEZ,28,Male,Canadian,Resort," $2,708.00 ",Flight, $769.00 
932,"Honolulu, Hawaii",7/11/2022,7/26/2022,15,Mark GONZALEZ,28,Female,Hong Kong,Airbnb," $5,792.00 ",Car," $1,090.00 "
933,New York,2/26/2024,3/5/2024,8,Mark WILSON,43,Female,South African,Airbnb," $7,655.00 ",Plane, $534.00 
934,London,6/16/2024,6/27/2024,11,Mark ANDERSON,51,Male,Indonesian,Resort," $4,802.00 ",Ferry," $2,213.00 "
935,"Cape Town, SA",2/16/2022,2/26/2022,10,Mark THOMAS,30,Male,Cambodia,Hotel," $4,357.00 ",Subway," $2,074.00 "
936,Bangkok,8/12/2023,8/16/2023,4,Mark TAYLOR,36,Male,Singapore,Hostel," $1,426.00 ",Subway," $2,346.00 "
937,London,12/19/2022,12/25/2022,6,Mark LEE,26,Male,Canadian,Guesthouse," $5,138.00 ",Car," $1,492.00 "
938,"London, UK",5/23/2024,5/30/2024,7,Mark MOORE,41,Female,French,Riad," $4,399.00 ",Train, $671.00 
939,"Rome, Italy",10/14/2022,10/22/2022,8,Mark JACKSON,53,Male,USA,Vacation rental," $1,262.00 ",Train," $1,100.00 "
940,Italy,2/16/2022,2/22/2022,6,Elizabeth SMITH,24,Female,Japan,Guesthouse," $1,337.00 ",Car," $1,981.00 "
941,"London, UK",4/6/2022,4/19/2022,13,Elizabeth JOHNSON,56,Female,Korean,Vacation rental," $4,624.00 ",Car, $448.00 
942,Seoul,4/10/2021,4/17/2021,7,Elizabeth WILLIAMS,52,Male,Vietnamese,Airbnb," $1,173.00 ",Car rental," $2,481.00 "
943,"London, UK",8/11/2022,8/21/2022,10,Elizabeth BROWN,59,Male,Indonesian,Villa," $1,376.00 ",Train," $1,639.00 "
944,"Auckland, New Zealand",5/28/2024,5/29/2024,1,Elizabeth JONES,60,Male,China,Hostel, $473.00 ,Subway," $1,109.00 "
945,Spain,2/15/2022,3/1/2022,14,Elizabeth GARCIA,35,Female,Canada,Guesthouse," $7,081.00 ",Ferry, $214.00 
946,"New York City, USA",6/11/2021,6/18/2021,7,Elizabeth RODRIGUEZ,34,Female,Japanese,Vacation rental," $1,201.00 ",Car rental," $1,510.00 "
947,Cape Town,6/25/2024,7/9/2024,14,Elizabeth MILLER,44,Male,Indian,Guesthouse," $7,887.00 ",Car," $1,078.00 "
948,"Bangkok, Thailand",5/26/2024,6/4/2024,9,Elizabeth MARTINEZ,53,Male,American,Vacation rental," $7,007.00 ",Plane, $353.00 
949,"Vancouver, Canada",12/17/2024,12/22/2024,5,Elizabeth DAVIS,46,Female,China,Guesthouse," $7,515.00 ",Train," $2,281.00 "
950,Dubai,12/23/2024,1/5/2025,13,Elizabeth HERNANDEZ,36,Male,Australian,Vacation rental," $3,757.00 ",Bus," $2,074.00 "
951,"Sydney, Australia",2/12/2023,2/26/2023,14,Elizabeth LOPEZ,47,Male,Japanese,Airbnb, $337.00 ,Subway," $1,813.00 "
952,"Cancun, Mexico",9/9/2024,9/20/2024,11,Elizabeth GONZALEZ,37,Male,UK,Villa," $4,337.00 ",Train, $515.00 
953,"Bangkok, Thailand",11/29/2022,12/6/2022,7,Elizabeth WILSON,42,Female,New Zealander,Vacation rental," $5,302.00 ",Subway," $1,254.00 "
954,"Dubai, United Arab Emirates",6/6/2024,6/20/2024,14,Elizabeth ANDERSON,36,Male,United Kingdom,Riad," $2,141.00 ",Plane," $2,200.00 "
955,Amsterdam,8/19/2021,8/21/2021,2,Elizabeth THOMAS,29,Male,South Korea,Guesthouse," $1,830.00 ",Bus," $1,939.00 "
956,"Phuket, Thailand",6/6/2021,6/15/2021,9,Elizabeth TAYLOR,59,Male,Dutch,Hotel," $2,582.00 ",Bus," $1,860.00 "
957,Greece,10/20/2022,10/21/2022,1,Elizabeth LEE,22,Female,Indonesian,Vacation rental," $5,396.00 ",Ferry," $2,452.00 "
958,"Amsterdam, Netherlands",6/6/2024,6/9/2024,3,Elizabeth MOORE,48,Female,UK,Airbnb, $579.00 ,Airplane," $2,057.00 "
959,"Seoul, South Korea",10/17/2023,10/27/2023,10,Elizabeth JACKSON,27,Male,USA,Riad, $522.00 ,Flight, $280.00 
960,"Berlin, Germany",10/5/2023,10/18/2023,13,Richard SMITH,47,Male,Scottish,Guesthouse," $7,488.00 ",Airplane," $1,878.00 "
961,London,11/27/2024,12/5/2024,8,Richard JOHNSON,24,Male,South Korean,Villa," $7,187.00 ",Subway," $2,172.00 "
962,Japan,5/4/2022,5/10/2022,6,Richard WILLIAMS,46,Male,Moroccan,Guesthouse," $1,429.00 ",Ferry," $1,068.00 "
963,"Athens, Greece",5/30/2024,6/14/2024,15,Richard BROWN,20,Male,French,Riad," $2,447.00 ",Car rental, $232.00 
964,"Edinburgh, Scotland",8/14/2021,8/15/2021,1,Richard JONES,34,Male,South Korea,Hostel," $6,119.00 ",Ferry, $104.00 
965,Seoul,2/9/2021,2/18/2021,9,Richard GARCIA,56,Female,United Arab Emirates,Villa," $6,248.00 ",Subway," $2,443.00 "
966,"London, UK",9/12/2021,9/22/2021,10,Richard RODRIGUEZ,38,Female,Cambodia,Riad," $5,025.00 ",Train, $982.00 
967,"Honolulu, Hawaii",4/16/2023,4/17/2023,1,Richard MILLER,31,Female,Brazil,Riad," $3,691.00 ",Plane, $196.00 
968,Brazil,8/15/2022,8/23/2022,8,Richard MARTINEZ,51,Female,Japan,Resort," $4,229.00 ",Airplane," $2,095.00 "
969,"Paris, France",5/19/2024,5/30/2024,11,Richard DAVIS,41,Male,Brazilian,Resort," $5,432.00 ",Car," $1,440.00 "
970,"Dubai, United Arab Emirates",5/8/2024,5/23/2024,15,Richard HERNANDEZ,26,Female,Greece,Airbnb," $4,279.00 ",Flight, $956.00 
971,Paris,10/10/2024,10/20/2024,10,Daniel SMITH,30,Female,Chinese,Hotel," $3,131.00 ",Car rental, $251.00 
972,Barcelona,1/9/2024,1/24/2024,15,Daniel JOHNSON,38,Male,Hong Kong,Resort," $1,844.00 ",Flight," $1,741.00 "
973,Rome,11/21/2023,11/22/2023,1,Daniel WILLIAMS,32,Male,Singapore,Hostel, $499.00 ,Car rental, $933.00 
974,Australia,7/10/2024,7/13/2024,3,Daniel BROWN,32,Female,Moroccan,Airbnb," $2,484.00 ",Airplane, $582.00 
975,Rio de Janeiro,2/14/2023,2/19/2023,5,Daniel JONES,44,Female,Vietnamese,Hotel," $1,726.00 ",Car," $1,581.00 "
976,"London, UK",7/19/2022,7/30/2022,11,Daniel GARCIA,53,Male,Italy,Villa," $6,663.00 ",Car," $2,299.00 "
977,"London, UK",6/12/2023,6/24/2023,12,Daniel RODRIGUEZ,58,Male,Indonesian,Hostel," $7,761.00 ",Ferry, $788.00 
978,"Tokyo, Japan",7/22/2021,7/27/2021,5,Daniel MILLER,22,Male,Hong Kong,Guesthouse, $153.00 ,Train," $2,100.00 "
979,Hawaii,2/6/2021,2/20/2021,14,Daniel MARTINEZ,44,Female,Hong Kong,Airbnb," $2,474.00 ",Car rental, $505.00 
980,"Athens, Greece",2/4/2023,2/10/2023,6,Daniel DAVIS,25,Male,Hong Kong,Vacation rental," $3,194.00 ",Airplane," $2,272.00 "
981,"Paris, France",3/20/2021,3/31/2021,11,Daniel HERNANDEZ,46,Male,Italian,Airbnb," $2,788.00 ",Car rental, $703.00 
982,Bangkok,11/21/2023,11/29/2023,8,Thomas SMITH,23,Male,South African,Hotel," $7,442.00 ",Train," $2,084.00 "
983,Hawaii,6/29/2023,7/4/2023,5,Thomas JOHNSON,54,Female,Cambodia,Resort," $5,722.00 ",Train," $1,166.00 "
984,Rio de Janeiro,12/23/2023,1/7/2024,15,Thomas WILLIAMS,24,Male,British,Villa," $5,908.00 ",Car rental, $480.00 
985,"Sydney, AUS",4/10/2022,4/21/2022,11,Thomas BROWN,51,Male,Chinese,Guesthouse," $5,170.00 ",Flight," $1,365.00 "
986,"Cape Town, South Africa",6/25/2023,7/2/2023,7,Thomas JONES,52,Male,Spain,Riad, $733.00 ,Flight, $987.00 
987,New York,11/11/2024,11/18/2024,7,Thomas GARCIA,22,Male,Moroccan,Riad," $7,249.00 ",Airplane, $563.00 
988,Italy,10/15/2021,10/26/2021,11,Thomas RODRIGUEZ,54,Male,Taiwan,Hotel," $5,292.00 ",Ferry, $669.00 
989,"New York, USA",2/25/2024,3/8/2024,12,Thomas MILLER,33,Male,British,Hotel," $3,051.00 ",Subway," $1,583.00 "
990,Australia,3/15/2021,3/17/2021,2,Thomas MARTINEZ,57,Female,Vietnamese,Resort," $3,192.00 ",Car rental, $742.00 
991,"Athens, Greece",11/30/2021,12/11/2021,11,Thomas DAVIS,36,Female,French,Riad," $6,141.00 ",Plane," $1,323.00 "
992,"Amsterdam, Netherlands",5/27/2021,6/10/2021,14,Thomas HERNANDEZ,42,Female,Canada,Guesthouse," $7,664.00 ",Ferry," $1,006.00 "
993,"Berlin, Germany",10/9/2022,10/21/2022,12,Matthew SMITH,57,Male,German,Resort," $1,333.00 ",Ferry, $845.00 
994,New York,3/10/2021,3/23/2021,13,Matthew JOHNSON,45,Male,Germany,Vacation rental," $6,249.00 ",Train," $1,943.00 "
995,"Bali, Indonesia",1/9/2021,1/15/2021,6,Matthew WILLIAMS,37,Female,British,Airbnb," $7,941.00 ",Car, $752.00 
996,"Vancouver, Canada",4/9/2023,4/16/2023,7,Matthew BROWN,60,Male,Italy,Airbnb," $7,264.00 ",Airplane," $2,467.00 "
997,"Athens, Greece",3/7/2021,3/9/2021,2,Matthew JONES,60,Male,Chinese,Vacation rental," $7,208.00 ",Plane," $2,321.00 "
998,Sydney,8/7/2022,8/16/2022,9,Matthew GARCIA,54,Female,Korean,Vacation rental," $3,082.00 ",Car," $1,054.00 "
999,Hawaii,1/29/2023,2/1/2023,3,Matthew RODRIGUEZ,54,Male,Japanese,Resort," $1,217.00 ",Plane," $2,254.00 "
1000,"Bali, Indonesia",7/30/2022,8/4/2022,5,Matthew MILLER,50,Male,Canada,Airbnb," $6,398.00 ",Ferry, $958.00 
1001,"Berlin, Germany",7/3/2023,7/16/2023,13,Matthew MARTINEZ,39,Female,Indonesian,Hostel," $3,661.00 ",Subway," $2,230.00 "
1002,"Edinburgh, Scotland",6/19/2023,6/21/2023,2,Matthew DAVIS,34,Male,Hong Kong,Vacation rental," $1,304.00 ",Plane," $1,745.00 "
1003,Australia,10/29/2022,11/13/2022,15,Matthew HERNANDEZ,29,Male,German,Airbnb," $1,795.00 ",Airplane," $1,253.00 "
1004,"Barcelona, Spain",4/19/2023,4/28/2023,9,Jennifer SMITH,39,Female,American,Guesthouse," $7,364.00 ",Car rental, $881.00 
1005,Tokyo,6/8/2024,6/20/2024,12,Jennifer JOHNSON,26,Female,South Korea,Riad," $3,156.00 ",Train," $1,903.00 "
1006,"Sydney, Australia",4/30/2021,5/15/2021,15,Jennifer WILLIAMS,26,Male,USA,Resort," $4,395.00 ",Train, $101.00 
1007,Australia,10/17/2023,10/18/2023,1,Jennifer BROWN,54,Male,United Kingdom,Riad," $2,556.00 ",Subway," $1,685.00 "
1008,"Rio de Janeiro, Brazil",5/10/2023,5/14/2023,4,Jennifer JONES,58,Male,South Korean,Villa," $1,116.00 ",Airplane," $1,023.00 "
1009,London,7/7/2021,7/9/2021,2,Jennifer GARCIA,23,Female,American,Airbnb," $2,030.00 ",Bus," $1,804.00 "
1010,Seoul,8/28/2023,9/11/2023,14,Jennifer RODRIGUEZ,33,Male,British,Resort," $1,257.00 ",Car," $1,401.00 "
1011,Rio de Janeiro,6/15/2024,6/26/2024,11,Jennifer MILLER,30,Female,Korean,Airbnb," $6,671.00 ",Bus," $1,874.00 "
1012,"Bangkok, Thai",12/24/2022,12/28/2022,4,Jennifer MARTINEZ,30,Female,American,Hotel," $3,249.00 ",Airplane," $1,932.00 "
1013,Rio de Janeiro,11/8/2024,11/22/2024,14,Jennifer DAVIS,44,Male,New Zealander,Resort," $2,889.00 ",Car rental," $1,629.00 "
1014,Rome,8/24/2021,9/7/2021,14,Jennifer HERNANDEZ,24,Male,UK,Riad," $5,535.00 ",Bus," $2,402.00 "
1015,"Los Angeles, USA",5/13/2023,5/14/2023,1,Charles SMITH,32,Male,Mexican,Hotel," $4,549.00 ",Train, $338.00 
1016,Mexico,10/18/2021,10/30/2021,12,Charles JOHNSON,26,Female,UK,Hostel," $7,635.00 ",Car rental," $1,410.00 "
1017,Mexico,7/19/2024,7/26/2024,7,Charles WILLIAMS,42,Female,French,Hotel," $2,871.00 ",Car," $1,038.00 "
1018,Canada,4/8/2023,4/15/2023,7,Charles BROWN,58,Female,Brazil,Resort," $7,477.00 ",Airplane," $1,652.00 "
1019,"Marrakech, Morocco",7/2/2022,7/15/2022,13,Charles JONES,44,Male,Dutch,Hostel," $2,872.00 ",Bus," $2,191.00 "
1020,London,7/4/2021,7/14/2021,10,Charles GARCIA,20,Male,Taiwanese,Hostel," $6,234.00 ",Train, $877.00 
1021,"Sydney, Australia",7/5/2021,7/12/2021,7,Charles RODRIGUEZ,30,Female,Indonesian,Vacation rental," $1,741.00 ",Airplane, $193.00 
1022,Bangkok,2/5/2022,2/10/2022,5,Charles MILLER,35,Female,UK,Hotel," $2,488.00 ",Ferry, $613.00 
1023,"Marrakech, Morocco",12/9/2024,12/13/2024,4,Charles MARTINEZ,52,Female,Taiwanese,Riad," $3,259.00 ",Airplane," $1,469.00 "
1024,"Phuket, Thailand",5/21/2022,6/1/2022,11,Charles DAVIS,49,Female,New Zealander,Hostel, $654.00 ,Plane," $1,000.00 "
1025,Italy,5/8/2022,5/20/2022,12,Charles HERNANDEZ,40,Male,China,Hostel," $3,484.00 ",Car rental, $173.00 
1026,Australia,11/6/2021,11/16/2021,10,Anthony SMITH,35,Male,Korean,Airbnb," $5,763.00 ",Plane," $2,042.00 "
1027,"Cape Town, SA",9/28/2024,9/29/2024,1,Anthony JOHNSON,26,Male,German,Hotel," $6,752.00 ",Car, $148.00 
1028,Japan,5/17/2022,6/1/2022,15,Anthony WILLIAMS,38,Male,Italian,Resort," $3,909.00 ",Train," $1,779.00 "
1029,"Vancouver, Canada",4/8/2023,4/22/2023,14,Anthony BROWN,43,Female,Hong Kong,Hotel, $293.00 ,Bus," $2,395.00 "
1030,"Marrakech, Morocco",5/19/2021,5/28/2021,9,Anthony JONES,35,Female,Italian,Resort," $7,760.00 ",Flight," $2,174.00 "
1031,Greece,8/27/2024,9/2/2024,6,Anthony GARCIA,28,Male,Taiwanese,Hostel," $5,127.00 ",Car, $717.00 
